SOC,OCV
0.09922,3.3068
0.09942,3.307
0.09962,3.3072
0.09982,3.3074
0.10002,3.3076
0.10022,3.3078
0.10042,3.308
0.10062,3.3082
0.10082,3.3084
0.10102,3.3086
0.10122,3.3088
0.10142,3.309
0.10162,3.3091
0.10182,3.3094
0.10202,3.3096
0.10222,3.3098
0.10242,3.3099
0.10262,3.3101
0.10282,3.3103
0.10302,3.3105
0.10322,3.3107
0.10342,3.3109
0.10362,3.3111
0.10382,3.3113
0.10402,3.3115
0.10422,3.3117
0.10442,3.3119
0.10462,3.3121
0.10482,3.3123
0.10502,3.3125
0.10522,3.3127
0.10542,3.3129
0.10562,3.3131
0.10582,3.3133
0.10602,3.3135
0.10622,3.3136
0.10642,3.3139
0.10662,3.3141
0.10682,3.3143
0.10702,3.3144
0.10722,3.3146
0.10742,3.3148
0.10762,3.315
0.10782,3.3152
0.10802,3.3154
0.10822,3.3156
0.10842,3.3158
0.10862,3.316
0.10882,3.3162
0.10902,3.3164
0.10922,3.3166
0.10942,3.3168
0.10962,3.317
0.10982,3.3171
0.11002,3.3174
0.11022,3.3176
0.11042,3.3177
0.11062,3.318
0.11082,3.3181
0.11102,3.3183
0.11122,3.3185
0.11142,3.3187
0.11162,3.3189
0.11182,3.3191
0.11202,3.3193
0.11222,3.3195
0.11242,3.3197
0.11262,3.3199
0.11282,3.3201
0.11302,3.3203
0.11322,3.3205
0.11342,3.3207
0.11362,3.3209
0.11382,3.3211
0.11402,3.3213
0.11422,3.3215
0.11442,3.3217
0.11462,3.3219
0.11482,3.3221
0.11502,3.3223
0.11522,3.3225
0.11542,3.3227
0.11562,3.3229
0.11582,3.3231
0.11602,3.3233
0.11622,3.3235
0.11642,3.3237
0.11662,3.324
0.11682,3.3241
0.11702,3.3243
0.11722,3.3246
0.11742,3.3248
0.11762,3.325
0.11782,3.3252
0.11802,3.3254
0.11822,3.3256
0.11842,3.3258
0.11862,3.326
0.11882,3.3263
0.11902,3.3265
0.11922,3.3267
0.11942,3.327
0.11962,3.3272
0.11982,3.3274
0.12002,3.3277
0.12022,3.3278
0.12042,3.3281
0.12062,3.3284
0.12082,3.3286
0.12102,3.3288
0.12122,3.329
0.12142,3.3293
0.12162,3.3295
0.12182,3.3297
0.12202,3.3301
0.12222,3.3303
0.12242,3.3305
0.12262,3.3308
0.12282,3.331
0.12302,3.3313
0.12322,3.3316
0.12342,3.3318
0.12362,3.3321
0.12382,3.3324
0.12402,3.3326
0.12422,3.3329
0.12442,3.3332
0.12462,3.3335
0.12482,3.3338
0.12503,3.3341
0.12523,3.3343
0.12543,3.3346
